Label,Contrast,Box Dice (%),Box IoU (%),N Samples,Best Text Prompt,Best Text Dice (%)
NETC,T1N,52.92593179753135,40.56406776175777,13,Enhancing Tumor,25.07477143102771
NETC,T1C,58.63281002194507,47.28688745277804,13,Enhancing Tumor,25.32045983626144
NETC,T2W,52.76274553950755,40.587858682891444,13,Enhancing Tumor,24.78927706557145
NETC,T2F,53.51563041001302,41.08520411019059,13,Tumor,18.931489596760827
SNFH,T1N,51.84333168246904,40.087894025005305,32,Enhancing Tumor,13.443511773743872
SNFH,T1C,55.08874545128448,43.33931260019684,32,Tumor,19.061393306368107
SNFH,T2W,55.188923131293144,43.36526081363215,32,Enhancing Tumor,20.04780985737841
SNFH,T2F,60.81595494564924,48.845790671030734,32,Enhancing Tumor,27.11791942131156
ET,T1N,52.36749951868228,40.35418974636847,26,Enhancing Tumor,18.62000585354281
ET,T1C,55.25632433294347,43.98775339274427,26,Enhancing Tumor,31.446970087461995
ET,T2W,52.621127115872945,41.2021819727954,26,Enhancing Tumor,27.12510404660039
ET,T2F,54.094580243316535,42.329352951228906,26,Enhancing Tumor,25.091773287213716
